Date,CO,NO,NO2,NOX,O3,PM10,PM25,SO2,
5/9/2016,3.5,22.25,29.25,58.25,41.25,13.25,20.25,8.25,25.5
6/9/2016,3.8,17.25,29.25,51.25,47.25,24.25,28.25,7.25,20.5
7/9/2016,1.3,19.25,29.25,53.25,48.25,13.25,22.25,6.25,22.5
8/9/2016,2.4,17.25,31.25,53.25,46.25,16.25,19.25,6.25,20.5
9/9/2016,2.5,19.25,31.25,55.25,40.25,14.25,22.25,6.25,22.5
10/9/2016,0.9,31.25,52.25,96.25,29.25,22.25,20.25,7.25,34.5
11/9/2016,1,16.25,47.25,67.25,27.25,21.25,22.25,7.25,19.5
12/9/2016,3.4,21.25,57.25,85.25,17.25,23.25,32.25,10.25,24.5
13/9/2016,2.3,69.25,77.25,179.25,4.25,18.25,21.25,16.25,72.5
14/9/2016,0.1,30.25,59.25,101.25,8.25,20.25,30.25,11.25,33.5
15/9/2016,4.7,5.25,38.25,40.25,13.25,17.25,23.25,10.25,8.5
16/9/2016,4.9,26.25,46.25,81.25,4.25,14.25,17.25,12.25,29.5
17/9/2016,4.2,34.25,45.25,93.25,4.25,3.25,17.25,12.25,37.5
18/9/2016,0.4,35.25,44.25,93.25,4.25,3.25,15.25,10.25,38.5
19/9/2016,3.8,25.25,41.25,75.25,4.25,3.25,13.25,8.25,28.5
20/9/2016,3.8,12.25,37.25,51.25,7.25,3.25,19.25,7.25,15.5
21/9/2016,4.4,9.25,30.25,39.25,14.25,3.25,19.25,6.25,12.5
22/9/2016,1.7,17.25,37.25,57.25,12.25,3.25,16.25,6.25,20.5
23/9/2016,5.1,53.25,50.25,128.25,9.25,3.25,17.25,8.25,56.5
24/9/2016,1.7,61.25,55.25,144.25,12.25,3.25,26.25,8.25,64.5
25/9/2016,1.5,65.25,64.25,160.25,15.25,3.25,26.25,9.25,68.5
26/9/2016,5.1,42.25,54.25,114.25,22.25,3.25,16.25,8.25,45.5
27/9/2016,2.5,20.25,40.25,66.25,40.25,3.25,19.25,7.25,23.5
28/9/2016,1.5,3.25,3.25,3.25,3.25,3.25,3.25,3.25,6.5
29/9/2016,2.3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,6.5
30/9/2016,3.7,7.25,32.25,38.25,98.25,3.25,3.25,7.25,10.5
1/10/2016,3.7,16.25,48.25,67.25,92.25,3.25,35.25,8.25,19.5
2/10/2016,0.1,12.25,48.25,62.25,97.25,3.25,30.25,8.25,15.5
3/10/2016,3.3,21.25,55.25,81.25,75.25,3.25,32.25,7.25,24.5
4/10/2016,1.7,17.25,56.25,78.25,67.25,3.25,25.25,8.25,20.5
5/10/2016,1.7,7.25,31.25,37.25,79.25,3.25,25.25,7.25,10.5
6/10/2016,3.4,8.25,25.25,33.25,49.25,3.25,28.25,6.25,11.5
7/10/2016,4.2,8.25,25.25,32.25,53.25,3.25,30.25,6.25,11.5
8/10/2016,1.2,9.25,52.25,60.25,18.25,3.25,29.25,9.25,12.5
9/10/2016,3.8,4.25,35.25,36.25,37.25,3.25,33.25,8.25,7.5
10/10/2016,4.1,4.25,18.25,19.25,58.25,3.25,30.25,7.25,7.5
11/10/2016,0.9,4.25,14.25,13.25,59.25,8.25,22.25,10.25,7.5
12/10/2016,0.9,4.25,14.25,14.25,55.25,9.25,15.25,15.25,7.5
13/10/2016,5,4.25,13.25,11.25,56.25,8.25,19.25,9.25,7.5
14/10/2016,4.6,4.25,13.25,12.25,54.25,8.25,16.25,10.25,7.5
15/10/2016,4.6,4.25,16.25,15.25,46.25,10.25,14.25,9.25,7.5
16/10/2016,1.9,9.25,29.25,38.25,26.25,11.25,24.25,9.25,12.5
17/10/2016,0.5,13.25,27.25,42.25,27.25,11.25,12.25,9.25,16.5
18/10/2016,4.1,15.25,26.25,43.25,28.25,3.25,23.25,9.25,18.5
19/10/2016,0.1,24.25,35.25,68.25,21.25,3.25,14.25,8.25,27.5
20/10/2016,3.7,16.25,31.25,51.25,22.25,41.25,13.25,9.25,19.5
21/10/2016,1.7,25.25,36.25,70.25,24.25,31.25,14.25,7.25,28.5
22/10/2016,0.9,18.25,27.25,49.25,33.25,40.25,15.25,7.25,21.5
23/10/2016,5.1,28.25,39.25,77.25,28.25,37.25,19.25,7.25,31.5
24/10/2016,0.3,24.25,29.25,61.25,33.25,43.25,16.25,7.25,27.5
25/10/2016,1,11.25,22.25,34.25,37.25,37.25,17.25,6.25,14.5
26/10/2016,1.9,12.25,20.25,34.25,37.25,25.25,11.25,6.25,15.5
27/10/2016,4.8,22.25,29.25,59.25,36.25,33.25,8.25,6.25,25.5
28/10/2016,1,20.25,31.25,57.25,41.25,31.25,11.25,6.25,23.5
29/10/2016,2.6,15.25,28.25,47.25,42.25,34.25,12.25,6.25,18.5
30/10/2016,0.3,20.25,34.25,60.25,29.25,26.25,11.25,7.25,23.5
31/10/2016,4.5,16.25,31.25,50.25,28.25,24.25,9.25,7.25,19.5
1/11/2016,0.1,13.25,31.25,46.25,34.25,21.25,10.25,7.25,16.5
2/11/2016,4.6,6.25,23.25,27.25,36.25,26.25,8.25,7.25,9.5
3/11/2016,0.7,4.25,16.25,15.25,38.25,29.25,9.25,6.25,7.5
4/11/2016,0.5,4.25,15.25,15.25,42.25,24.25,10.25,6.25,7.5
5/11/2016,4.4,4.25,14.25,13.25,40.25,25.25,8.25,6.25,7.5
6/11/2016,3.3,4.25,14.25,12.25,34.25,22.25,8.25,6.25,7.5
7/11/2016,4.9,4.25,17.25,19.25,32.25,27.25,7.25,6.25,7.5
8/11/2016,1.4,21.25,28.25,53.25,31.25,20.25,11.25,6.25,24.5
9/11/2016,1.6,32.25,36.25,80.25,25.25,20.25,13.25,7.25,35.5
10/11/2016,0.1,37.25,42.25,94.25,21.25,27.25,14.25,7.25,40.5
11/11/2016,3.3,35.25,39.25,89.25,21.25,29.25,17.25,7.25,38.5
12/11/2016,2.1,31.25,32.25,75.25,25.25,33.25,16.25,7.25,34.5
13/11/2016,1.3,25.25,33.25,66.25,35.25,23.25,14.25,6.25,28.5
14/11/2016,2.1,23.25,29.25,60.25,37.25,26.25,13.25,6.25,26.5
15/11/2016,4.1,19.25,30.25,54.25,45.25,28.25,16.25,6.25,22.5
16/11/2016,2.7,19.25,28.25,52.25,47.25,42.25,18.25,6.25,22.5
17/11/2016,3.5,15.25,25.25,43.25,48.25,36.25,17.25,6.25,18.5
18/11/2016,4.2,17.25,29.25,50.25,50.25,29.25,13.25,6.25,20.5
19/11/2016,0.6,20.25,32.25,58.25,53.25,28.25,16.25,6.25,23.5
20/11/2016,0.7,13.25,34.25,50.25,59.25,35.25,19.25,6.25,16.5
21/11/2016,4.4,19.25,37.25,61.25,58.25,38.25,18.25,6.25,22.5
22/11/2016,0.5,16.25,33.25,53.25,63.25,23.25,13.25,6.25,19.5
23/11/2016,1.7,16.25,40.25,59.25,64.25,27.25,14.25,6.25,19.5
24/11/2016,3.4,12.25,33.25,45.25,72.25,28.25,14.25,5.25,15.5
25/11/2016,4.6,9.25,35.25,45.25,70.25,38.25,19.25,5.25,12.5
26/11/2016,4.3,4.25,14.25,14.25,86.25,27.25,19.25,5.25,7.5
27/11/2016,4.1,4.25,12.25,11.25,91.25,34.25,15.25,5.25,7.5
28/11/2016,2.3,6.25,18.25,22.25,54.25,21.25,13.25,4.25,9.5
29/11/2016,0.6,4.25,13.25,13.25,59.25,17.25,10.25,4.25,7.5
30/11/2016,2.8,4.25,11.25,11.25,62.25,15.25,11.25,4.25,7.5
1/12/2016,1.8,5.25,13.25,14.25,60.25,15.25,10.25,4.25,8.5
2/12/2016,0.3,5.25,13.25,15.25,56.25,15.25,14.25,4.25,8.5
3/12/2016,0.7,12.25,21.25,32.25,47.25,15.25,11.25,4.25,15.5
4/12/2016,2.8,21.25,34.25,61.25,38.25,15.25,11.25,5.25,24.5
5/12/2016,0.1,12.25,27.25,41.25,43.25,15.25,14.25,5.25,15.5
6/12/2016,3.5,21.25,30.25,57.25,37.25,13.25,12.25,5.25,24.5
7/12/2016,2.9,17.25,29.25,50.25,39.25,12.25,12.25,5.25,20.5
8/12/2016,4.5,17.25,27.25,49.25,39.25,15.25,14.25,5.25,20.5
9/12/2016,1.3,20.25,30.25,56.25,42.25,15.25,17.25,5.25,23.5
10/12/2016,1,11.25,24.25,36.25,48.25,11.25,18.25,4.25,14.5
11/12/2016,3.3,17.25,27.25,48.25,47.25,8.25,14.25,4.25,20.5
12/12/2016,4.6,10.25,19.25,30.25,56.25,8.25,11.25,5.25,13.5
13/12/2016,0.9,12.25,17.25,30.25,55.25,13.25,8.25,5.25,15.5
14/12/2016,2.2,13.25,18.25,34.25,50.25,9.25,11.25,5.25,16.5
15/12/2016,3.6,12.25,19.25,33.25,55.25,7.25,11.25,4.25,15.5
16/12/2016,4.4,13.25,26.25,42.25,49.25,10.25,9.25,6.25,16.5
17/12/2016,4.4,14.25,33.25,50.25,46.25,20.25,9.25,5.25,17.5
18/12/2016,3.6,18.25,33.25,55.25,40.25,16.25,12.25,5.25,21.5
19/12/2016,2.2,17.25,33.25,55.25,35.25,14.25,14.25,5.25,20.5
20/12/2016,2.1,8.25,23.25,29.25,38.25,14.25,16.25,5.25,11.5
21/12/2016,2.4,8.25,23.25,30.25,41.25,16.25,16.25,5.25,11.5
22/12/2016,3.5,7.25,19.25,24.25,43.25,16.25,12.25,4.25,10.5
23/12/2016,1.6,5.25,14.25,17.25,47.25,14.25,8.25,5.25,8.5
24/12/2016,4.2,6.25,18.25,22.25,40.25,13.25,14.25,6.25,9.5
25/12/2016,4.1,5.25,32.25,33.25,21.25,15.25,12.25,7.25,8.5
26/12/2016,0.9,4.25,34.25,35.25,18.25,15.25,14.25,9.25,7.5
27/12/2016,1,7.25,29.25,34.25,21.25,10.25,14.25,7.25,10.5
28/12/2016,4.1,8.25,29.25,36.25,18.25,9.25,12.25,14.25,11.5
29/12/2016,4.2,28.25,42.25,79.25,8.25,12.25,13.25,16.25,31.5
30/12/2016,0.2,19.25,32.25,56.25,20.25,11.25,12.25,14.25,22.5
31/12/2016,5.1,11.25,16.25,28.25,34.25,10.25,12.25,6.25,14.5
1/1/2017,1.9,12.25,16.25,30.25,36.25,8.25,9.25,5.25,15.5
2/1/2017,4.1,12.25,19.25,32.25,38.25,7.25,9.25,5.25,15.5
3/1/2017,4.6,11.25,15.25,27.25,39.25,8.25,13.25,5.25,14.5
4/1/2017,4.6,11.25,15.25,26.25,40.25,13.25,10.25,5.25,14.5
5/1/2017,4.8,10.25,14.25,24.25,37.25,12.25,9.25,5.25,13.5
6/1/2017,0.3,10.25,15.25,25.25,31.25,10.25,11.25,5.25,13.5
7/1/2017,4.8,10.25,15.25,27.25,32.25,8.25,8.25,5.25,13.5
8/1/2017,0.8,8.25,12.25,20.25,29.25,7.25,8.25,5.25,11.5
9/1/2017,0.4,8.25,11.25,18.25,29.25,8.25,10.25,5.25,11.5
10/1/2017,2.7,11.25,14.25,26.25,28.25,8.25,13.25,5.25,14.5
11/1/2017,3.2,15.25,16.25,33.25,25.25,8.25,11.25,5.25,18.5
12/1/2017,2.7,14.25,21.25,37.25,25.25,10.25,10.25,5.25,17.5
13/1/2017,1.2,5.25,16.25,18.25,26.25,11.25,11.25,6.25,8.5
14/1/2017,0.5,4.25,24.25,25.25,16.25,11.25,11.25,8.25,7.5
15/1/2017,0.2,4.25,15.25,14.25,27.25,7.25,11.25,5.25,7.5
16/1/2017,3.5,4.25,13.25,11.25,26.25,7.25,11.25,5.25,7.5
17/1/2017,0.1,13.25,29.25,43.25,6.25,8.25,8.25,12.25,16.5
18/1/2017,0.4,11.25,31.25,44.25,5.25,7.25,10.25,13.25,14.5
19/1/2017,1.6,6.25,26.25,30.25,6.25,7.25,11.25,7.25,9.5
20/1/2017,1.2,23.25,29.25,59.25,4.25,7.25,8.25,7.25,26.5
21/1/2017,2.3,42.25,35.25,94.25,4.25,7.25,9.25,9.25,45.5
22/1/2017,3.1,47.25,34.25,102.25,6.25,7.25,17.25,8.25,50.5
23/1/2017,3,39.25,30.25,86.25,10.25,12.25,13.25,7.25,42.5
24/1/2017,1.6,28.25,28.25,66.25,15.25,11.25,14.25,7.25,31.5
25/1/2017,0.2,35.25,31.25,80.25,18.25,8.25,14.25,9.25,38.5
26/1/2017,0.4,24.25,28.25,59.25,33.25,13.25,15.25,7.25,27.5
27/1/2017,4.2,24.25,34.25,66.25,37.25,13.25,22.25,7.25,27.5
28/1/2017,4.1,22.25,29.25,58.25,41.25,13.25,20.25,8.25,25.5
29/1/2017,2.4,17.25,29.25,51.25,47.25,24.25,28.25,7.25,20.5
30/1/2017,2.2,19.25,29.25,53.25,48.25,13.25,22.25,6.25,22.5
31/1/2017,4.3,17.25,31.25,53.25,46.25,16.25,19.25,6.25,20.5
1/2/2017,3.6,19.25,31.25,55.25,40.25,14.25,22.25,6.25,22.5
2/2/2017,3.3,31.25,52.25,96.25,29.25,22.25,20.25,7.25,34.5
3/2/2017,4.9,16.25,47.25,67.25,27.25,21.25,22.25,7.25,19.5
4/2/2017,3.4,21.25,57.25,85.25,17.25,23.25,32.25,10.25,24.5
5/2/2017,3.4,69.25,77.25,179.25,4.25,18.25,21.25,16.25,72.5
6/2/2017,4.2,30.25,59.25,101.25,8.25,20.25,30.25,11.25,33.5
7/2/2017,0.7,5.25,38.25,40.25,13.25,17.25,23.25,10.25,8.5
8/2/2017,0.8,26.25,46.25,81.25,4.25,14.25,17.25,12.25,29.5
9/2/2017,4.3,34.25,45.25,93.25,4.25,3.25,17.25,12.25,37.5
10/2/2017,1.2,35.25,44.25,93.25,4.25,3.25,15.25,10.25,38.5
11/2/2017,2.7,25.25,41.25,75.25,4.25,3.25,13.25,8.25,28.5
12/2/2017,1.9,12.25,37.25,51.25,7.25,3.25,19.25,7.25,15.5
13/2/2017,2.7,9.25,30.25,39.25,14.25,3.25,19.25,6.25,12.5
14/2/2017,4.8,17.25,37.25,57.25,12.25,3.25,16.25,6.25,20.5
15/2/2017,2.1,53.25,50.25,128.25,9.25,3.25,17.25,8.25,56.5
16/2/2017,2.7,61.25,55.25,144.25,12.25,3.25,26.25,8.25,64.5
17/2/2017,3.2,65.25,64.25,160.25,15.25,3.25,26.25,9.25,68.5
18/2/2017,2.3,42.25,54.25,114.25,22.25,3.25,16.25,8.25,45.5
19/2/2017,4.2,20.25,40.25,66.25,40.25,3.25,19.25,7.25,23.5
20/2/2017,5,3.25,3.25,3.25,3.25,3.25,3.25,3.25,6.5
21/2/2017,4,3.25,3.25,3.25,3.25,3.25,3.25,3.25,6.5
22/2/2017,0.2,7.25,32.25,38.25,98.25,3.25,3.25,7.25,10.5
23/2/2017,3.5,16.25,48.25,67.25,92.25,3.25,35.25,8.25,19.5
24/2/2017,2.6,12.25,48.25,62.25,97.25,3.25,30.25,8.25,15.5
25/2/2017,4.7,21.25,55.25,81.25,75.25,3.25,32.25,7.25,24.5
26/2/2017,0.8,17.25,56.25,78.25,67.25,3.25,25.25,8.25,20.5
27/2/2017,0.8,7.25,31.25,37.25,79.25,3.25,25.25,7.25,10.5
28/2/2017,2.2,8.25,25.25,33.25,49.25,3.25,28.25,6.25,11.5
1/3/2017,0.9,8.25,25.25,32.25,53.25,3.25,30.25,6.25,11.5
2/3/2017,1.6,9.25,52.25,60.25,18.25,3.25,29.25,9.25,12.5
3/3/2017,5.1,4.25,35.25,36.25,37.25,3.25,33.25,8.25,7.5
4/3/2017,0.3,4.25,18.25,19.25,58.25,3.25,30.25,7.25,7.5
5/3/2017,1.7,4.25,14.25,13.25,59.25,8.25,22.25,10.25,7.5
6/3/2017,4.4,4.25,14.25,14.25,55.25,9.25,15.25,15.25,7.5
7/3/2017,4.1,4.25,13.25,11.25,56.25,8.25,19.25,9.25,7.5
8/3/2017,0.6,4.25,13.25,12.25,54.25,8.25,16.25,10.25,7.5
9/3/2017,3.1,4.25,16.25,15.25,46.25,10.25,14.25,9.25,7.5
10/3/2017,3.5,9.25,29.25,38.25,26.25,11.25,24.25,9.25,12.5
11/3/2017,4.9,13.25,27.25,42.25,27.25,11.25,12.25,9.25,16.5
12/3/2017,4.9,15.25,26.25,43.25,28.25,3.25,23.25,9.25,18.5
13/3/2017,4.6,24.25,35.25,68.25,21.25,3.25,14.25,8.25,27.5
14/3/2017,3,16.25,31.25,51.25,22.25,41.25,13.25,9.25,19.5
15/3/2017,0.5,25.25,36.25,70.25,24.25,31.25,14.25,7.25,28.5
16/3/2017,2.4,18.25,27.25,49.25,33.25,40.25,15.25,7.25,21.5
17/3/2017,1,28.25,39.25,77.25,28.25,37.25,19.25,7.25,31.5
18/3/2017,4.1,24.25,29.25,61.25,33.25,43.25,16.25,7.25,27.5
19/3/2017,3.6,11.25,22.25,34.25,37.25,37.25,17.25,6.25,14.5
20/3/2017,1.6,12.25,20.25,34.25,37.25,25.25,11.25,6.25,15.5
21/3/2017,2.1,22.25,29.25,59.25,36.25,33.25,8.25,6.25,25.5
22/3/2017,2.3,20.25,31.25,57.25,41.25,31.25,11.25,6.25,23.5
23/3/2017,3.1,15.25,28.25,47.25,42.25,34.25,12.25,6.25,18.5
24/3/2017,1.6,20.25,34.25,60.25,29.25,26.25,11.25,7.25,23.5
25/3/2017,3.7,16.25,31.25,50.25,28.25,24.25,9.25,7.25,19.5
26/3/2017,2.9,13.25,31.25,46.25,34.25,21.25,10.25,7.25,16.5
27/3/2017,5.1,6.25,23.25,27.25,36.25,26.25,8.25,7.25,9.5
28/3/2017,0.7,4.25,16.25,15.25,38.25,29.25,9.25,6.25,7.5
29/3/2017,0.9,4.25,15.25,15.25,42.25,24.25,10.25,6.25,7.5
30/3/2017,3.3,4.25,14.25,13.25,40.25,25.25,8.25,6.25,7.5
31/3/2017,2.6,4.25,14.25,12.25,34.25,22.25,8.25,6.25,7.5
1/4/2017,1.9,4.25,17.25,19.25,32.25,27.25,7.25,6.25,7.5
2/4/2017,3.4,21.25,28.25,53.25,31.25,20.25,11.25,6.25,24.5
3/4/2017,1.5,32.25,36.25,80.25,25.25,20.25,13.25,7.25,35.5
4/4/2017,1.5,37.25,42.25,94.25,21.25,27.25,14.25,7.25,40.5
5/4/2017,3.8,35.25,39.25,89.25,21.25,29.25,17.25,7.25,38.5
6/4/2017,0.1,31.25,32.25,75.25,25.25,33.25,16.25,7.25,34.5
7/4/2017,2.1,25.25,33.25,66.25,35.25,23.25,14.25,6.25,28.5
8/4/2017,0.9,23.25,29.25,60.25,37.25,26.25,13.25,6.25,26.5
9/4/2017,4.6,19.25,30.25,54.25,45.25,28.25,16.25,6.25,22.5
10/4/2017,2.9,19.25,28.25,52.25,47.25,42.25,18.25,6.25,22.5
11/4/2017,2,15.25,25.25,43.25,48.25,36.25,17.25,6.25,18.5
12/4/2017,2.9,17.25,29.25,50.25,50.25,29.25,13.25,6.25,20.5
13/4/2017,2.2,20.25,32.25,58.25,53.25,28.25,16.25,6.25,23.5
14/4/2017,2.5,13.25,34.25,50.25,59.25,35.25,19.25,6.25,16.5
15/4/2017,3.5,19.25,37.25,61.25,58.25,38.25,18.25,6.25,22.5
16/4/2017,2.9,16.25,33.25,53.25,63.25,23.25,13.25,6.25,19.5
17/4/2017,1.5,16.25,40.25,59.25,64.25,27.25,14.25,6.25,19.5
18/4/2017,4.8,12.25,33.25,45.25,72.25,28.25,14.25,5.25,15.5
19/4/2017,0.8,9.25,35.25,45.25,70.25,38.25,19.25,5.25,12.5
20/4/2017,0.5,4.25,14.25,14.25,86.25,27.25,19.25,5.25,7.5
21/4/2017,0.4,4.25,12.25,11.25,91.25,34.25,15.25,5.25,7.5
22/4/2017,3.9,6.25,18.25,22.25,54.25,21.25,13.25,4.25,9.5
23/4/2017,2.7,4.25,13.25,13.25,59.25,17.25,10.25,4.25,7.5
24/4/2017,2.3,4.25,11.25,11.25,62.25,15.25,11.25,4.25,7.5
25/4/2017,1.8,5.25,13.25,14.25,60.25,15.25,10.25,4.25,8.5
26/4/2017,3.2,5.25,13.25,15.25,56.25,15.25,14.25,4.25,8.5
27/4/2017,4.2,12.25,21.25,32.25,47.25,15.25,11.25,4.25,15.5
28/4/2017,0.7,21.25,34.25,61.25,38.25,15.25,11.25,5.25,24.5
29/4/2017,0.5,12.25,27.25,41.25,43.25,15.25,14.25,5.25,15.5
30/4/2017,3.6,21.25,30.25,57.25,37.25,13.25,12.25,5.25,24.5
1/5/2017,3.4,17.25,29.25,50.25,39.25,12.25,12.25,5.25,20.5
2/5/2017,4.6,17.25,27.25,49.25,39.25,15.25,14.25,5.25,20.5
3/5/2017,2.9,20.25,30.25,56.25,42.25,15.25,17.25,5.25,23.5
4/5/2017,2.7,11.25,24.25,36.25,48.25,11.25,18.25,4.25,14.5
5/5/2017,4.8,17.25,27.25,48.25,47.25,8.25,14.25,4.25,20.5
6/5/2017,2.5,10.25,19.25,30.25,56.25,8.25,11.25,5.25,13.5
7/5/2017,4.5,12.25,17.25,30.25,55.25,13.25,8.25,5.25,15.5
8/5/2017,2.9,13.25,18.25,34.25,50.25,9.25,11.25,5.25,16.5
9/5/2017,2.3,12.25,19.25,33.25,55.25,7.25,11.25,4.25,15.5
10/5/2017,0.7,13.25,26.25,42.25,49.25,10.25,9.25,6.25,16.5
11/5/2017,0.1,14.25,33.25,50.25,46.25,20.25,9.25,5.25,17.5
12/5/2017,3.9,18.25,33.25,55.25,40.25,16.25,12.25,5.25,21.5
13/5/2017,0.9,17.25,33.25,55.25,35.25,14.25,14.25,5.25,20.5
14/5/2017,3.8,8.25,23.25,29.25,38.25,14.25,16.25,5.25,11.5
15/5/2017,2.6,8.25,23.25,30.25,41.25,16.25,16.25,5.25,11.5
16/5/2017,1.4,7.25,19.25,24.25,43.25,16.25,12.25,4.25,10.5
17/5/2017,5,5.25,14.25,17.25,47.25,14.25,8.25,5.25,8.5
18/5/2017,3.8,6.25,18.25,22.25,40.25,13.25,14.25,6.25,9.5
19/5/2017,3.2,5.25,32.25,33.25,21.25,15.25,12.25,7.25,8.5
20/5/2017,4.3,4.25,34.25,35.25,18.25,15.25,14.25,9.25,7.5
21/5/2017,1.4,7.25,29.25,34.25,21.25,10.25,14.25,7.25,10.5
22/5/2017,1.4,8.25,29.25,36.25,18.25,9.25,12.25,14.25,11.5
23/5/2017,3.2,28.25,42.25,79.25,8.25,12.25,13.25,16.25,31.5
24/5/2017,2.3,19.25,32.25,56.25,20.25,11.25,12.25,14.25,22.5
25/5/2017,0.6,11.25,16.25,28.25,34.25,10.25,12.25,6.25,14.5
